Hostname,Total
DPB798KX.AD.ADELAIDE.EDU.AU,0,0
D21903105.AD.ADELAIDE.EDU.AU,0,0
D01301498.AD.ADELAIDE.EDU.AU,0,0
LR9WW02R.AD.ADELAIDE.EDU.AU,0,0
DPB0L6N0.AD.ADELAIDE.EDU.AU,0,0
LPBXMGAB.AD.ADELAIDE.EDU.AU,0,0
DL3E8150.AD.ADELAIDE.EDU.AU,0,0
LR9PLNTL.AD.ADELAIDE.EDU.AU,0,0
DPB82CWG.AD.ADELAIDE.EDU.AU,0,0
DPB8C8E8.AD.ADELAIDE.EDU.AU,0,0
LPB6T38V.AD.ADELAIDE.EDU.AU,0,0
DPB25ZCA.AD.ADELAIDE.EDU.AU,0,0
DPBPZRDL.AD.ADELAIDE.EDU.AU,0,0
LPBXMNHN.AD.ADELAIDE.EDU.AU,0,0
D22100292.AD.ADELAIDE.EDU.AU,0,0
DPBVKBZW.AD.ADELAIDE.EDU.AU,0,0
DPB7F9WK.AD.ADELAIDE.EDU.AU,0,0
DPB7B94T.AD.ADELAIDE.EDU.AU,0,0
LPB61YEM.AD.ADELAIDE.EDU.AU,0,0
EXICP.AD.ADELAIDE.EDU.AU,0,0
DS603L43.AD.ADELAIDE.EDU.AU,0,0
DPBBMB99.AD.ADELAIDE.EDU.AU,0,0
DPB60DGR.AD.ADELAIDE.EDU.AU,0,0
DR8DRY4Z.AD.ADELAIDE.EDU.AU,0,0
DR8DPM9C.AD.ADELAIDE.EDU.AU,0,0
D21903104.AD.ADELAIDE.EDU.AU,0,0
DL3G2307.AD.ADELAIDE.EDU.AU,0,0
DR8NWTNM.AD.ADELAIDE.EDU.AU,0,0
LP10PE5X.AD.ADELAIDE.EDU.AU,0,0
L03602011.AD.ADELAIDE.EDU.AU,0,0
D20205495.AD.ADELAIDE.EDU.AU,0,0
DPBZAPVX.AD.ADELAIDE.EDU.AU,0,0
DPBHHZ74.AD.ADELAIDE.EDU.AU,0,0
DPBXBFKL.AD.ADELAIDE.EDU.AU,0,0
DPB25GFM.AD.ADELAIDE.EDU.AU,0,0
LPB189NN.AD.ADELAIDE.EDU.AU,0,0
DPBYPPD2.AD.ADELAIDE.EDU.AU,0,0
DPB2462T.AD.ADELAIDE.EDU.AU,0,0
LR9V5382.AD.ADELAIDE.EDU.AU,0,0
D20902061.AD.ADELAIDE.EDU.AU,0,0
DPB6KE8Y.AD.ADELAIDE.EDU.AU,0,0
DPB25GFE.AD.ADELAIDE.EDU.AU,0,0
LPB83GYM.AD.ADELAIDE.EDU.AU,0,0
D14101253.AD.ADELAIDE.EDU.AU,0,0
L12503602.AD.ADELAIDE.EDU.AU,0,0
D20601446.AD.ADELAIDE.EDU.AU,0,0
L10BF489B1610.AD.ADELAIDE.EDU.AU,0,0
D21802138.AD.ADELAIDE.EDU.AU,0,0
D20504307.AD.ADELAIDE.EDU.AU,0,0
DPB7B94N.AD.ADELAIDE.EDU.AU,0,0
D24000312.AD.ADELAIDE.EDU.AU,0,0
DPBWMKZC.AD.ADELAIDE.EDU.AU,0,0
D21903101.AD.ADELAIDE.EDU.AU,0,0
DPBG1403.AD.ADELAIDE.EDU.AU,0,0
L10207850.AD.ADELAIDE.EDU.AU,0,0
LP14YK7K.AD.ADELAIDE.EDU.AU,0,0
DR88GDYB.AD.ADELAIDE.EDU.AU,0,0
DR8VTHX0.AD.ADELAIDE.EDU.AU,0,0
D94000927.AD.ADELAIDE.EDU.AU,0,0
DPBRNLTK.AD.ADELAIDE.EDU.AU,0,0
L11000625.AD.ADELAIDE.EDU.AU,0,0
DR8N47G7.AD.ADELAIDE.EDU.AU,0,0
D13202073.AD.ADELAIDE.EDU.AU,0,0
D20705365.AD.ADELAIDE.EDU.AU,0,0
DPBKXNAX.AD.ADELAIDE.EDU.AU,0,0
LP10K3VA.AD.ADELAIDE.EDU.AU,0,0
D21903094.AD.ADELAIDE.EDU.AU,0,0
D00703935.AD.ADELAIDE.EDU.AU,0,0
DPB91PEG.AD.ADELAIDE.EDU.AU,0,0
DPBG1400.AD.ADELAIDE.EDU.AU,0,0
DPB98RFZ.AD.ADELAIDE.EDU.AU,0,0
LPB16M9E.AD.ADELAIDE.EDU.AU,0,0
LPB26VRN.AD.ADELAIDE.EDU.AU,0,0
L25100947.AD.ADELAIDE.EDU.AU,0,0
DR8N48E1.AD.ADELAIDE.EDU.AU,0,0
D23901782.AD.ADELAIDE.EDU.AU,0,0
L6C085397H.AD.ADELAIDE.EDU.AU,0,0
D23600059.AD.ADELAIDE.EDU.AU,0,0
D23600044.AD.ADELAIDE.EDU.AU,0,0
DPB798KW.AD.ADELAIDE.EDU.AU,0,0
D24401490.AD.ADELAIDE.EDU.AU,0,0
DPBXEGE2.AD.ADELAIDE.EDU.AU,0,0
DL3AAF3C.AD.ADELAIDE.EDU.AU,0,0
DPB79BVW.AD.ADELAIDE.EDU.AU,0,0
D14509547.AD.ADELAIDE.EDU.AU,0,0
DPBVKBYP.AD.ADELAIDE.EDU.AU,0,0
DPB9300Y.AD.ADELAIDE.EDU.AU,0,0
DPB6L31B.AD.ADELAIDE.EDU.AU,0,0
LR9W0CC1.AD.ADELAIDE.EDU.AU,0,0
DPBYAHDM.AD.ADELAIDE.EDU.AU,0,0
DR8VRY9C.AD.ADELAIDE.EDU.AU,0,0
DPBXBFKW.AD.ADELAIDE.EDU.AU,0,0
LR9MT266.AD.ADELAIDE.EDU.AU,0,0
DPB467VN.AD.ADELAIDE.EDU.AU,0,0
DPBYWXXF.AD.ADELAIDE.EDU.AU,0,0
DPBKXMZZ.AD.ADELAIDE.EDU.AU,0,0
L24500684.AD.ADELAIDE.EDU.AU,0,0
LPB83PVH.AD.ADELAIDE.EDU.AU,0,0
DPB0LB29.AD.ADELAIDE.EDU.AU,0,0
D23700621.AD.ADELAIDE.EDU.AU,0,0
LR9XDC5W.AD.ADELAIDE.EDU.AU,0,0
LPB82VDP.AD.ADELAIDE.EDU.AU,0,0
DPB82CWH.AD.ADELAIDE.EDU.AU,0,0
D20504242.AD.ADELAIDE.EDU.AU,0,0
DPB467MK.AD.ADELAIDE.EDU.AU,0,0
LPB717DP.AD.ADELAIDE.EDU.AU,0,0
D22202006.AD.ADELAIDE.EDU.AU,0,0
DPB88A84.AD.ADELAIDE.EDU.AU,0,0
D31601001.AD.ADELAIDE.EDU.AU,0,0
DPB00VP4.AD.ADELAIDE.EDU.AU,0,0
LPBWDCRP.AD.ADELAIDE.EDU.AU,0,0
DPB798KZ.AD.ADELAIDE.EDU.AU,0,0
D21903109.AD.ADELAIDE.EDU.AU,0,0
DPB0L6M9.AD.ADELAIDE.EDU.AU,0,0
DPBYAETE.AD.ADELAIDE.EDU.AU,0,0
DPBREPED.AD.ADELAIDE.EDU.AU,0,0
DPBHHZ76.AD.ADELAIDE.EDU.AU,0,0
LPB191YF.AD.ADELAIDE.EDU.AU,0,0
D21201441.AD.ADELAIDE.EDU.AU,0,0
LR94P71H.AD.ADELAIDE.EDU.AU,0,0
LL3D1751.AD.ADELAIDE.EDU.AU,0,0
DPBKXNBB.AD.ADELAIDE.EDU.AU,0,0
D22605123.AD.ADELAIDE.EDU.AU,0,0
DR8RN4L3.AD.ADELAIDE.EDU.AU,0,0
DPB7F9WG.AD.ADELAIDE.EDU.AU,0,0
LP156PLT.AD.ADELAIDE.EDU.AU,0,0
DPBNRAKG.AD.ADELAIDE.EDU.AU,0,0
DPBNRAKK.AD.ADELAIDE.EDU.AU,0,0
DPBXPLA5.AD.ADELAIDE.EDU.AU,0,0
D01803810.AD.ADELAIDE.EDU.AU,0,0
DPB04DW2.AD.ADELAIDE.EDU.AU,0,0
LR9W5D9X.AD.ADELAIDE.EDU.AU,0,0
LR9PHF4D.AD.ADELAIDE.EDU.AU,0,0
DPB82CWV.AD.ADELAIDE.EDU.AU,0,0
DPB2WC1F.AD.ADELAIDE.EDU.AU,0,0
DR88LY4E.AD.ADELAIDE.EDU.AU,0,0
D14803209.AD.ADELAIDE.EDU.AU,0,0
DPBLNFFK.AD.ADELAIDE.EDU.AU,0,0
D11101029.AD.ADELAIDE.EDU.AU,0,0
LP10PE5W.AD.ADELAIDE.EDU.AU,0,0
D22605124.AD.ADELAIDE.EDU.AU,0,0
DPB1TY0H.AD.ADELAIDE.EDU.AU,0,0
DPB5HP97.AD.ADELAIDE.EDU.AU,0,0
LL3P2731.AD.ADELAIDE.EDU.AU,0,0
D20601443.AD.ADELAIDE.EDU.AU,0,0
D22600031.AD.ADELAIDE.EDU.AU,0,0
DPB798LA.AD.ADELAIDE.EDU.AU,0,0
D00701919.AD.ADELAIDE.EDU.AU,0,0
DR8ER11V.AD.ADELAIDE.EDU.AU,0,0
LPB8Z6H9.AD.ADELAIDE.EDU.AU,0,0
L24500686.AD.ADELAIDE.EDU.AU,0,0
D01104148.AD.ADELAIDE.EDU.AU,0,0
DR8DRY5D.AD.ADELAIDE.EDU.AU,0,0
D14804951.AD.ADELAIDE.EDU.AU,0,0
D6CF049E00DEC.AD.ADELAIDE.EDU.AU,0,0
D21803944.AD.ADELAIDE.EDU.AU,0,0
LR9EMNPC.AD.ADELAIDE.EDU.AU,0,0
DR8P3VYK.AD.ADELAIDE.EDU.AU,0,0
LP10K3V6.AD.ADELAIDE.EDU.AU,0,0
LP14YK7M.AD.ADELAIDE.EDU.AU,0,0
D20205482.AD.ADELAIDE.EDU.AU,0,0
DPBXBFKX.AD.ADELAIDE.EDU.AU,0,0
DPB798LG.AD.ADELAIDE.EDU.AU,0,0
D22000085.AD.ADELAIDE.EDU.AU,0,0
D22300509.AD.ADELAIDE.EDU.AU,0,0
DR8N47G2.AD.ADELAIDE.EDU.AU,0,0
DR8C4FR7.AD.ADELAIDE.EDU.AU,0,0
DR8DPM9B.AD.ADELAIDE.EDU.AU,0,0
D10600204.AD.ADELAIDE.EDU.AU,0,0
DR8RZL4T.AD.ADELAIDE.EDU.AU,0,0
DR8N3YVD.AD.ADELAIDE.EDU.AU,0,0
DR8DRY4P.AD.ADELAIDE.EDU.AU,0,0
D1C6F65C2ABD8.AD.ADELAIDE.EDU.AU,0,0
D04200909.AD.ADELAIDE.EDU.AU,0,0
DR8N47G6.AD.ADELAIDE.EDU.AU,0,0
DPB1CEM9.AD.ADELAIDE.EDU.AU,0,0
DPBKXNAL.AD.ADELAIDE.EDU.AU,0,0
DPB8LL3W.AD.ADELAIDE.EDU.AU,0,0
LR9XFHWY.AD.ADELAIDE.EDU.AU,0,0
DPBZWEMZ.AD.ADELAIDE.EDU.AU,0,0
LPB23AA9.AD.ADELAIDE.EDU.AU,0,0
LPBXMKYM.AD.ADELAIDE.EDU.AU,0,0
D20205579.AD.ADELAIDE.EDU.AU,0,0
DPBKZY68.AD.ADELAIDE.EDU.AU,0,0
DPB7B94M.AD.ADELAIDE.EDU.AU,0,0
DPB2WD1A.AD.ADELAIDE.EDU.AU,0,0
FESEM.AD.ADELAIDE.EDU.AU,0,0
DPB25GFN.AD.ADELAIDE.EDU.AU,0,0
LPBXMNHR.AD.ADELAIDE.EDU.AU,0,0
LPB83PVK.AD.ADELAIDE.EDU.AU,0,0
DPB91R1X.AD.ADELAIDE.EDU.AU,0,0
LPB969CH.AD.ADELAIDE.EDU.AU,0,0
D23800349.AD.ADELAIDE.EDU.AU,0,0
MOLBIO088.AD.ADELAIDE.EDU.AU,0,0
DPB9PX8P.AD.ADELAIDE.EDU.AU,0,0
LR9YGHAF.AD.ADELAIDE.EDU.AU,0,0
DPBXBFKT.AD.ADELAIDE.EDU.AU,0,0
D30900887.AD.ADELAIDE.EDU.AU,0,0
DPB7B95B.AD.ADELAIDE.EDU.AU,0,0
DPBVTGCZ.AD.ADELAIDE.EDU.AU,0,0
LR9X27B5.AD.ADELAIDE.EDU.AU,0,0
DPB91PEH.AD.ADELAIDE.EDU.AU,0,0
D23600057.AD.ADELAIDE.EDU.AU,0,0
D04100289.AD.ADELAIDE.EDU.AU,0,0
LR9WHFTE.AD.ADELAIDE.EDU.AU,0,0
DPB798LF.AD.ADELAIDE.EDU.AU,0,0
DPBRYXEH.AD.ADELAIDE.EDU.AU,0,0
D23600071.AD.ADELAIDE.EDU.AU,0,0
LPB1V0DN.AD.ADELAIDE.EDU.AU,0,0
D30300082.AD.ADELAIDE.EDU.AU,0,0
DPB7F9WN.AD.ADELAIDE.EDU.AU,0,0
D21903093.AD.ADELAIDE.EDU.AU,0,0
DPB6745K.AD.ADELAIDE.EDU.AU,0,0
DPBVTCHR.AD.ADELAIDE.EDU.AU,0,0
DPB00VP3.AD.ADELAIDE.EDU.AU,0,0
LPB189NT.AD.ADELAIDE.EDU.AU,0,0
DPB7E55C.AD.ADELAIDE.EDU.AU,0,0
L24500220.AD.ADELAIDE.EDU.AU,0,0
DPB88G14.AD.ADELAIDE.EDU.AU,0,0
DPB1TY0P.AD.ADELAIDE.EDU.AU,0,0
DR8P204A.AD.ADELAIDE.EDU.AU,0,0
LR9WKVA4.AD.ADELAIDE.EDU.AU,0,0
L20802965.AD.ADELAIDE.EDU.AU,0,0
DPBNRAKL.AD.ADELAIDE.EDU.AU,0,0
LR9XACNT.AD.ADELAIDE.EDU.AU,0,0
DPBRRDFD.AD.ADELAIDE.EDU.AU,0,0
DPB2YF3F.AD.ADELAIDE.EDU.AU,0,0
D24000298.AD.ADELAIDE.EDU.AU,0,0
DPBVKCHV.AD.ADELAIDE.EDU.AU,0,0
LR9MT25F.AD.ADELAIDE.EDU.AU,0,0
DPBRRDFC.AD.ADELAIDE.EDU.AU,0,0
DPB1CEN1.AD.ADELAIDE.EDU.AU,0,0
D24000303.AD.ADELAIDE.EDU.AU,0,0
DPB798MD.AD.ADELAIDE.EDU.AU,0,0
EQPRT01-DEV.AD.ADELAIDE.EDU.AU,0,0
DPB4ZGY3.AD.ADELAIDE.EDU.AU,0,0
DPB6HKP3.AD.ADELAIDE.EDU.AU,0,0
DPB6HKP2.AD.ADELAIDE.EDU.AU,0,0
NI-PXIE-8135-1.AD.ADELAIDE.EDU.AU,0,0
LR9YBR37.AD.ADELAIDE.EDU.AU,0,0
DPB5HP98.AD.ADELAIDE.EDU.AU,0,0
CBSPSWPRD2.AD.ADELAIDE.EDU.AU,0,0
D20902153.AD.ADELAIDE.EDU.AU,0,0
FINPSWPRD4.AD.ADELAIDE.EDU.AU,0,0
D23600052.AD.ADELAIDE.EDU.AU,0,0
L30805152.AD.ADELAIDE.EDU.AU,0,0
DPB6HKY1.AD.ADELAIDE.EDU.AU,0,0
PROXYUAT1-HTTP.AD.ADELAIDE.EDU.AU,0,0
DPB6HN9V.AD.ADELAIDE.EDU.AU,0,0
DPB3RB6L.AD.ADELAIDE.EDU.AU,0,0
DPB5ZZP9.AD.ADELAIDE.EDU.AU,0,0
CHRI-PAYROLL.AD.ADELAIDE.EDU.AU,0,0
DPB2CMT1.AD.ADELAIDE.EDU.AU,0,0
DPB2CMT0.AD.ADELAIDE.EDU.AU,0,0
L14606107.AD.ADELAIDE.EDU.AU,0,0
DPB1CEN0.AD.ADELAIDE.EDU.AU,0,0
DR8M9FZ7.AD.ADELAIDE.EDU.AU,0,0
DPB2AGX8.AD.ADELAIDE.EDU.AU,0,0
DPB7B95E.AD.ADELAIDE.EDU.AU,0,0
LR9YBR34.AD.ADELAIDE.EDU.AU,0,0
LPB3DNH6.AD.ADELAIDE.EDU.AU,0,0
DPB8FPB9.AD.ADELAIDE.EDU.AU,0,0
D30900889.AD.ADELAIDE.EDU.AU,0,0
L32000493.AD.ADELAIDE.EDU.AU,0,0
DPB00CV1.AD.ADELAIDE.EDU.AU,0,0
DPB7YW7F.AD.ADELAIDE.EDU.AU,0,0
DPB9TNN2.AD.ADELAIDE.EDU.AU,0,0
DPB8FPC0.AD.ADELAIDE.EDU.AU,0,0
DPB6HKX9.AD.ADELAIDE.EDU.AU,0,0
DPB1LKYN.AD.ADELAIDE.EDU.AU,0,0
DPB1EYPW.AD.ADELAIDE.EDU.AU,0,0
DPBTVWNA.AD.ADELAIDE.EDU.AU,0,0
CINQUE.AD.ADELAIDE.EDU.AU,0,0
DPB1LKYT.AD.ADELAIDE.EDU.AU,0,0
DPB6L31H.AD.ADELAIDE.EDU.AU,0,0
DPB467PA.AD.ADELAIDE.EDU.AU,0,0
WSTESTWAPPV.AD.ADELAIDE.EDU.AU,0,0
DR8PNCKC.AD.ADELAIDE.EDU.AU,0,0
BASHFUL.AD.ADELAIDE.EDU.AU,0,0
DOPEY.AD.ADELAIDE.EDU.AU,0,0
DCNW3040D6D.AD.ADELAIDE.EDU.AU,0,0
DPB1LKYR.AD.ADELAIDE.EDU.AU,0,0
DPB5ZZR3.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV08.AD.ADELAIDE.EDU.AU,0,0
TMS01.AD.ADELAIDE.EDU.AU,0,0
WINDEVPRINT1.AD.ADELAIDE.EDU.AU,0,0
SLEEPY.AD.ADELAIDE.EDU.AU,0,0
DPB6HKY0.AD.ADELAIDE.EDU.AU,0,0
BUDGIE.AD.ADELAIDE.EDU.AU,0,0
DPB1CGAR.AD.ADELAIDE.EDU.AU,0,0
DPB7YY5M.AD.ADELAIDE.EDU.AU,0,0
LR9YFREC.AD.ADELAIDE.EDU.AU,0,0
LPB4NML1.AD.ADELAIDE.EDU.AU,0,0
DPB7X45B.AD.ADELAIDE.EDU.AU,0,0
DPB1ZNAW.AD.ADELAIDE.EDU.AU,0,0
LR9YVBCA.AD.ADELAIDE.EDU.AU,0,0
DOC.AD.ADELAIDE.EDU.AU,0,0
LPB1GYRE.AD.ADELAIDE.EDU.AU,0,0
LCNU315BJH2.AD.ADELAIDE.EDU.AU,0,0
L206A8A684581.AD.ADELAIDE.EDU.AU,0,0
TEST-PC.AD.ADELAIDE.EDU.AU,0,0
LCNU3179WHQ.AD.ADELAIDE.EDU.AU,0,0
LPB1GYRF.AD.ADELAIDE.EDU.AU,0,0
DPB1ZYEB.AD.ADELAIDE.EDU.AU,0,0
ADELAIDE-ECD7CE.AD.ADELAIDE.EDU.AU,0,0
TEST-VISTA-PC.AD.ADELAIDE.EDU.AU,0,0
HAMMERHEAD.AD.ADELAIDE.EDU.AU,0,0
PROXYTEST.AD.ADELAIDE.EDU.AU,0,0
LJDJP91HD400069.AD.ADELAIDE.EDU.AU,0,0
DPB98RGA.AD.ADELAIDE.EDU.AU,0,0
DPB0K1C3.AD.ADELAIDE.EDU.AU,0,0
DPB82CWP.AD.ADELAIDE.EDU.AU,0,0
D21903098.AD.ADELAIDE.EDU.AU,0,0
LPB1GYRC.AD.ADELAIDE.EDU.AU,0,0
DPB3AH88.AD.ADELAIDE.EDU.AU,0,0
ADDC501N.AD.ADELAIDE.EDU.AU,0,0
